,City,Latitude,Longitude,Maximum Temperature,Humidity %,Cloudiness %,Wind Speed(mph),Country,Date
0,Saskylakh,71.92,114.08,-22.77,89,7,3.61,RU,2020-11-08 01:09:26
1,Casa Nova,-9.42,-41.13,27.24,63,0,8.27,BR,2020-11-08 01:09:27
2,Tuktoyaktuk,69.45,-133.04,-3.0,79,40,8.7,CA,2020-11-08 01:09:27
3,Bud,39.45,-86.18,12.22,71,1,2.36,US,2020-11-08 01:09:27
4,Mbabane,-26.32,31.13,20.83,46,0,2.08,SZ,2020-11-08 01:09:27
5,Nishihara,26.18,127.76,28.0,78,75,3.6,JP,2020-11-08 01:09:28
6,Bonavista,48.65,-53.11,2.22,79,100,2.6,CA,2020-11-08 01:09:28
7,Ungaran,-7.14,110.41,17.22,43,5,0.69,ID,2020-11-08 01:09:28
8,Rikitea,-23.12,-134.97,22.05,73,100,7.26,PF,2020-11-08 01:09:28
9,Kapaa,22.08,-159.32,27.0,83,90,3.6,US,2020-11-08 01:09:26
10,Kaitangata,-46.28,169.85,12.78,44,0,4.92,NZ,2020-11-08 01:09:29
11,Dongli,23.57,116.82,21.0,94,90,2.0,CN,2020-11-08 01:09:30
12,Tasiilaq,65.61,-37.64,-3.0,63,91,1.0,GL,2020-11-08 01:09:30
13,Port Alfred,-33.59,26.89,18.89,81,0,4.58,ZA,2020-11-08 01:09:30
14,Albany,42.6,-73.97,13.33,58,25,1.86,US,2020-11-08 01:04:39
15,San Patricio,28.02,-97.52,23.0,83,20,6.2,US,2020-11-08 01:09:31
16,Cape Town,-33.93,18.42,15.56,93,75,6.2,ZA,2020-11-08 01:07:53
17,Laguna,38.42,-121.42,16.0,40,1,3.6,US,2020-11-08 01:09:32
18,Busselton,-33.65,115.33,19.44,79,97,3.34,AU,2020-11-08 01:09:32
19,Lavrentiya,65.58,-171.0,-1.47,95,30,2.64,RU,2020-11-08 01:09:32
20,Buta,2.79,24.73,20.78,98,97,0.62,CD,2020-11-08 01:09:32
21,Caucaia,-3.74,-38.65,27.0,78,20,3.6,BR,2020-11-08 01:05:19
22,Iqaluit,63.75,-68.51,-14.0,77,75,2.1,CA,2020-11-08 01:09:32
23,Saint Paul Harbor,57.79,-152.41,7.0,87,90,8.2,US,2020-11-08 01:09:32
24,Kadaň,50.38,13.27,1.11,100,0,1.04,CZ,2020-11-08 01:09:33
25,Nizhnyaya Tavda,57.67,66.17,0.85,96,100,1.45,RU,2020-11-08 01:05:35
26,Lianzhou,24.78,112.38,19.53,60,0,2.89,CN,2020-11-08 01:04:42
27,Bunia,1.57,30.25,16.02,85,53,0.97,CD,2020-11-08 01:09:34
28,New Norfolk,-42.78,147.06,18.89,47,20,3.6,AU,2020-11-08 01:09:34
29,Hermanus,-34.42,19.23,13.89,86,91,1.34,ZA,2020-11-08 01:09:35
30,Navahrudak,53.6,25.83,5.8,98,8,4.68,BY,2020-11-08 01:09:36
31,Princeton,25.54,-80.41,26.11,94,75,6.2,US,2020-11-08 01:00:28
32,Eyl,7.98,49.82,25.3,77,42,5.06,SO,2020-11-08 01:09:36
33,Avera,33.19,-82.53,22.0,78,75,2.6,US,2020-11-08 01:09:38
34,Egvekinot,66.32,-179.17,-5.64,98,100,2.5,RU,2020-11-08 01:09:38
35,Malaṅgawā,26.86,85.56,17.76,70,0,0.97,NP,2020-11-08 01:09:38
36,Nome,64.5,-165.41,2.0,93,90,2.6,US,2020-11-08 01:09:38
37,Naryan-Mar,67.67,53.09,-0.42,99,99,1.88,RU,2020-11-08 01:09:38
38,Mahébourg,-20.41,57.7,23.0,83,75,4.6,MU,2020-11-08 01:09:38
39,Bluff,-46.6,168.33,12.22,53,33,4.02,NZ,2020-11-08 01:09:38
40,Mataura,-46.19,168.86,12.22,53,0,4.02,NZ,2020-11-08 01:09:39
41,Ushuaia,-54.8,-68.3,14.0,47,40,9.3,AR,2020-11-08 01:09:39
42,Alofi,-19.06,-169.92,27.0,69,26,5.7,NU,2020-11-08 01:09:39
43,Hede,33.77,120.25,16.62,45,0,4.99,CN,2020-11-08 01:09:39
44,Barrow,71.29,-156.79,-1.0,86,90,9.3,US,2020-11-08 01:09:40
45,Sawākin,19.11,37.33,27.66,74,15,3.42,SD,2020-11-08 01:09:40
46,Bengkulu,-3.8,102.27,27.17,74,99,0.84,ID,2020-11-08 01:09:40
